GEO,CRTFCTN_DT,ELGBLTY_SW,FAC_NAME,PRVDR_NUM,SKLTN_REC_SW,STATE_RGN_CD,TRMNTN_EXPRTN_DT,ZIP_CD,CBSA_CD,LONGITUDE,LATITUDE,GRADE_FAC_NAME,GRADEN,GRADEN.01,GEOGRAPHY.1,TOTAL_CIVILIAN_NONINSTITUTIONALIZED_POPULATION,AVG-MEDIAN_AGE_IN_YEARS,TOTAL_HOUSEHOLDS_ESTIMATE,PROP_FAMILY_HOUSEHOLDS,PROP_NONFAMILY_HOUSEHOLDS,AVERAGE_HOUSEHOLD_SIZE,AVERAGE_FAMILY_SIZE,GPS_LIVING_WITH_GCS_UNDER_18_YEARS,PROP__GPS_CARING_FOR_GC_OVER_18,NUMBER_OF_VETERANS,VETERANS_AS_PROP_OF_POPULATION,UNEMPLOYED_VETERANS_PROP_OF_LABOUR_FORCE,HISPANI_OR_LATINO,HISPANIC/LATINO_PROP,WHITE,WHITE_PROP,BLACK_ESTIMATE,BLACK_PROP,NATIVE_AMERICAN/ALASKAN,NATIVE_AMERICAN/ALASKAN_PROP,ASIAN,ASIAN_PROP,NATIVE_HAWAIIAN/PACIFIC_ISLANDER,NATIVE_HAWAIIAN/PACIFIC_ISLANDER_PROP,"OTHER_RACE_ONLY,_NOT_HISPANIC/LATINO","OTHER_RACE_ONLY,_NOT_HISPANIC/LATINO_PROP","TWO_OR_MORE_RACES_ALONE,_NOT_HISPANIC_OR_LATINO_ESTIMATE","TWO_OR_MORE_RACES_ALONE,_NOT_HISPANIC_OR_LATINO_PROP",PROP_NATIVE_BORN,PROP_FOREIGN_BORN,PROP_OF_FOREIGN_BORN_WHO_ARE_NATURALIZED_U.S._CITIZEN,POP_5_YEARS_+,POP_5_YEARS_+_FOREIGN_LANGUAGE_AT_HOME,POP_5_YEARS_+_W/_POOR_ENGLISH,MEDIAN_HOUSEHOLD_INCOME_(DOLLARS),MEAN_HOUSEHOLD_INCOME_(DOLLARS),MEDIAN_FAMILY_INCOME_(DOLLARS),MEAN_FAMILY_INCOME_(DOLLARS),PER_CAPITA_INCOME_(DOLLARS),ALL_FAMILIES%,MARRIED_COUPLE_FAMILIES%,FEMALE_HOUSEHOLDER_NO_HUSBAND%,ALL_PEOPLE%,UNDER_18%,PERCENT_(LABOR_FORCE_PARTICIPATION_RATE),LABOUR_FORCE_%,EMPLOYED_16+%,EMPLOYED_%_16+,UNEMPLOYMENT%,MILITARY%,NOT_IN_LABOURFORCE%,"POPULATION_25_YEARS_
AND_OVER%",PERCENT_LESS_THAN_9TH_GRADE%,"PERCENT_9TH_TO_12TH_GRADE,_NO_DIPLOMA",PERCENT_HIGH_SCHOOL_GRADUATE_(INCLUDES_EQUIVALENCY),"PERCENT_SOME_COLLEGE,_NO_DEGREE",PERCENT_ASSOCIATE'S_DEGREE,PERCENT_BACHELOR'S_DEGREE,PERCENT_GRADUATE_OR_PROFESSIONAL_DEGREE,PERCENT_HIGH_SCHOOL_GRADUATE_OR_HIGHER,POPULATION_25_YEARS_AND_OVER_WITH_EARNINGS,LESS_THAN_HIGH_SCHOOL_GRADUATE_EARNINGS_(DOLLARS),HIGH_SCHOOL_GRADUATE__EARNINGS_(DOLLARS),SOME_COLLEGE_OR_ASSOCIATE'S_DEGREE_EARNINGS_(DOLLARS),BACHELOR'S_DEGREE_EARNINGS_(DOLLARS),GRADUATE_OR_PROFESSIONAL_DEGREE_EARNINGS_(DOLLARS),MEDIAN_VALUE_(DOLLARS)
SAN LUIS OBISPO,19921223,N,FRENCH HOSPITAL MEDICAL CENTER,05D0586788,Y,LAB,20190816,93401,42020,-120.6511558,35.2781709,FRENCH HOSPITAL MEDICAL CENTER,100,1,SAN LUIS OBISPO COUNTY,276654,39.6,104544,61.8,38.2,2.55,3.07,N,N,17797,7.7,2.4,64128,22.6,194713,68.7,4419,1.6,1809,0.6,10108,3.6,254,0.1,121,0,7853,2.8,90.2,9.8,53.9,270314,17.6,5.4,45382,54201,49375,54543,21922,30.1,7.7,57.6,37.8,60.9,41.5,41.5,39,2.4,5.9,0,58.5,1516,5.1,10.6,36.9,30.3,5.5,9.9,1.6,84.3,50444,-,31488,50333,84940,65469,0
SAN LUIS OBISPO,19930811,N,FRENCH HOSP MED CTR CARDIO PULMO LAB,05D0874585,Y,LAB,19990101,93401,42020,-120.6511558,35.2781709,FRENCH HOSPITAL MEDICAL CENTER,100,1,SAN LUIS OBISPO COUNTY,276654,39.6,104544,61.8,38.2,2.55,3.07,N,N,17797,7.7,2.4,64128,22.6,194713,68.7,4419,1.6,1809,0.6,10108,3.6,254,0.1,121,0,7853,2.8,90.2,9.8,53.9,270314,17.6,5.4,35234,42652,35807,47563,11898,33.8,32.7,43.2,40.2,54,63,63,53.2,9.7,15.5,0,37,740,26.6,16.1,43.9,5.7,5.3,2.4,0,57.3,22635,19153,24412,17656,-,-,0
SAN LUIS OBISPO,19961017,N,SIERRA VISTA REGIONAL MEDICAL CENTER,05D0921025,Y,LAB,20200512,93405,42020,-120.6658831,35.2922246,SIERRA VISTA REGIONAL MEDICAL CENTER,100,1,SAN LUIS OBISPO COUNTY,276654,39.6,104544,61.8,38.2,2.55,3.07,N,N,17797,7.7,2.4,64128,22.6,194713,68.7,4419,1.6,1809,0.6,10108,3.6,254,0.1,121,0,7853,2.8,90.2,9.8,53.9,270314,17.6,5.4,45179,57374,48507,60805,17941,22,9,50.8,29.9,47.7,47.2,46.6,35.9,10.7,22.9,0.6,52.8,8692,6.4,15.7,32.6,29.1,5.5,6.6,4.1,77.9,29326,19107,27470,37260,58837,-,0
SAN LUIS OBISPO,20180830,Y,AFFILIATED PATHOLOGISTS OF THE CENTRAL COAST,05D1048982,N,M2,20180814,93405,42020,-120.6658831,35.2922246,SIERRA VISTA REGIONAL MEDICAL CENTER,100,1,SAN LUIS OBISPO COUNTY,276654,39.6,104544,61.8,38.2,2.55,3.07,N,N,17797,7.7,2.4,64128,22.6,194713,68.7,4419,1.6,1809,0.6,10108,3.6,254,0.1,121,0,7853,2.8,90.2,9.8,53.9,270314,17.6,5.4,57292,59495,56458,54012,16971,0,0,0,11.7,0,60.2,60.2,56.1,4.1,6.8,0,39.8,109,29.4,22,36.7,11.9,0,0,0,48.6,-,-,-,-,-,-,0
SAN LUIS OBISPO,20180830,Y,AFFILIATED PATHOLOGISTS OF THE CENTRAL COAST,05D1048983,N,M2,20180814,93401,42020,-120.6511558,35.2781709,FRENCH HOSPITAL MEDICAL CENTER,100,1,SAN LUIS OBISPO COUNTY,276654,39.6,104544,61.8,38.2,2.55,3.07,N,N,17797,7.7,2.4,64128,22.6,194713,68.7,4419,1.6,1809,0.6,10108,3.6,254,0.1,121,0,7853,2.8,90.2,9.8,53.9,270314,17.6,5.4,37969,82399,-,47815,30750,34.7,0,78.3,41.3,77.8,40.8,40.8,33,7.8,19.2,0,59.2,1492,7,5.6,38.4,25.5,3.6,20,0,87.4,60469,-,62500,34583,103596,-,0
DALY CITY,19930107,N,SETON MEDICAL CENTER LABORATORY,05D0673829,Y,M2,20190227,94015,41884,-122.4742007,37.6799404,SETON MEDICAL CENTER,80,0.8,DALY CITY CITY,106507,37.9,29162,74.2,25.8,3.64,4.06,N,N,2864,3.3,13.1,28740,26.8,10097,9.4,3595,3.4,393,0.4,60310,56.3,263,0.2,41,0,3652,3.4,48.3,51.7,65.9,102044,68.5,28.9,38708,52262,39908,52811,12246,23.1,17.4,44,24.4,34.4,50.7,50.7,43.7,7,13.8,0,49.3,31759,28.3,16.7,27.6,16.2,4.2,5.9,1.2,55,18267,14020,20639,27376,40813,66563,0
REDWOOD CITY,19921223,N,SEQUOIA HOSPITAL LABORATORY,05D0592180,Y,M2,20190824,94062,41884,-122.2547914,37.4797381,SEQUOIA HOSPITAL,100,1,REDWOOD CITY CITY,85441,38.4,32344,64.6,35.4,2.62,3.13,N,N,3066,4.3,1,26359,30.4,41183,47.5,2201,2.5,13,0,12529,14.5,334,0.4,630,0.7,3434,4,64.8,35.2,50.7,81263,45.4,18.1,52500,60839,62750,67967,21562,13.9,5.2,47.1,25.1,38.8,40.6,40.6,38.2,2.4,5.9,0,59.4,201,4.5,24.4,21.9,27.4,13.9,6.5,1.5,71.1,51591,-,51000,62708,-,-,0
REDWOOD CITY,19930225,N,KAISER FOUNDATION HOSPITAL RWC PPMP LABORATORY,05D0694013,Y,M2,20200129,94063,41884,-122.2251548,37.4891185,KAISER FOUNDATION HOSPITAL - REDWOOD CITY,100,1,REDWOOD CITY CITY,85441,38.4,32344,64.6,35.4,2.62,3.13,N,N,3066,4.3,1,26359,30.4,41183,47.5,2201,2.5,13,0,12529,14.5,334,0.4,630,0.7,3434,4,64.8,35.2,50.7,81263,45.4,18.1,63542,74544,73393,74587,21037,11.8,8.9,25,16,18.2,51.3,51.3,45.9,5.3,10.4,0,48.7,452,0,20.1,39.4,26.8,11.7,0.9,1.1,79.9,44688,52045,43906,27969,-,-,0
REDWOOD CITY,19930210,N,SEQUOIA HOSPITAL CARDIAC CATH LAB,05D0703074,Y,LAB,19950710,94062,41884,-122.2547914,37.4797381,SEQUOIA HOSPITAL,100,1,REDWOOD CITY CITY,85441,38.4,32344,64.6,35.4,2.62,3.13,N,N,3066,4.3,1,26359,30.4,41183,47.5,2201,2.5,13,0,12529,14.5,334,0.4,630,0.7,3434,4,64.8,35.2,50.7,81263,45.4,18.1,47000,55556,38333,48546,11374,31.6,37.5,0,41.5,52.4,39.5,39.5,35.4,4.2,10.6,0,60.5,188,16,19.1,45.2,11.7,0,4.8,3.2,64.9,21429,-,19107,-,-,-,0
REDWOOD CITY,19921223,N,SEQUOIA HOSPITAL DISTRICT,05D0706500,Y,LAB,19950710,94062,41884,-122.2547914,37.4797381,SEQUOIA HOSPITAL,100,1,REDWOOD CITY CITY,85441,38.4,32344,64.6,35.4,2.62,3.13,N,N,3066,4.3,1,26359,30.4,41183,47.5,2201,2.5,13,0,12529,14.5,334,0.4,630,0.7,3434,4,64.8,35.2,50.7,81263,45.4,18.1,64955,80406,64955,81007,23354,6.8,4.8,66.7,9.5,13.3,73.9,28.9,26,2.9,10.2,45,26.1,1183,0,0.5,10.1,23.8,18.7,24.9,21.9,99.5,50112,-,-,40380,64018,99250,0
REDWOOD CITY,20071010,N,DIABETES CENTER,05D1074938,Y,M2,20111009,94062,41884,-122.2547914,37.4797381,SEQUOIA HOSPITAL,100,1,REDWOOD CITY CITY,85441,38.4,32344,64.6,35.4,2.62,3.13,N,N,3066,4.3,1,26359,30.4,41183,47.5,2201,2.5,13,0,12529,14.5,334,0.4,630,0.7,3434,4,64.8,35.2,50.7,81263,45.4,18.1,68750,62086,78750,75317,29395,0,0,-,3.5,0,52.1,52.1,47.9,4.2,8,0,47.9,42,0,4.8,59.5,26.2,7.1,2.4,0,95.2,54583,-,-,-,-,-,0
SAN FRANCISCO,19940829,N,CHINESE HOSPITAL LABORATORY,05D0062669,Y,LAB,20190102,94133,41884,-122.4091608,37.7954715,CHINESE HOSPITAL,80,0.8,SOUTH SAN FRANCISCO CITY,67378,40.7,20939,75.3,24.7,3.18,3.67,N,N,2312,4.3,0,21045,31.2,11492,17,1436,2.1,23,0,30274,44.9,693,1,0,0,2467,3.7,58.5,41.5,73.4,63484,59.5,22.9,36298,44920,37628,44288,14098,36.9,33.8,66.8,41.4,54.9,65.8,65.8,58.1,7.7,11.7,0,34.2,2504,20.2,14.1,35.2,16.1,9.5,3.6,1.4,65.7,19651,16616,26429,27071,-,-,0
SOUTH SAN FRANCISCO,19930104,N,KAISER FOUNDATION HOSPITAL,05D0592499,Y,LAB,20200831,94080,41884,-122.4393133,37.6591974,KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO,100,1,SOUTH SAN FRANCISCO CITY,67378,40.7,20939,75.3,24.7,3.18,3.67,N,N,2312,4.3,0,21045,31.2,11492,17,1436,2.1,23,0,30274,44.9,693,1,0,0,2467,3.7,58.5,41.5,73.4,63484,59.5,22.9,31714,44886,46875,66408,17647,16.6,7.7,60.5,29.8,35.2,51,51,45,6.1,11.9,0,49,1673,1.6,6.9,38.1,33,5,9,6.5,91.6,30208,-,27714,38000,-,-,0
SAN FRANCISCO,19930212,N,THOMAS R VAUGHAN MD,05D0593699,Y,LAB,19930831,94109,41884,-122.4166422,37.7896472,SAINT FRANCIS MEMORIAL HOSPITAL,60,0.6,SOUTH SAN FRANCISCO CITY,67378,40.7,20939,75.3,24.7,3.18,3.67,N,N,2312,4.3,0,21045,31.2,11492,17,1436,2.1,23,0,30274,44.9,693,1,0,0,2467,3.7,58.5,41.5,73.4,63484,59.5,22.9,32738,36187,31875,34889,9464,34.8,29.1,86.1,32.7,39.6,55.6,55.6,42.6,13,23.4,0,44.4,443,44.5,14.2,25.1,8.4,1.1,4.1,2.7,41.3,22059,19032,35365,48750,-,-,0
SAN FRANCISCO,19921217,N,CA PACIFIC MED CTR LAB.-ST. LUKE'S CAMPUS HOSPITAL,05D0594021,Y,M2,20190102,94110,41884,-122.420695,37.7477035,CALIFORNIA PACIFIC MEDICAL CENTER - MISSION BERNAL CAMPUS,40,0.4,SOUTH SAN FRANCISCO CITY,67378,40.7,20939,75.3,24.7,3.18,3.67,N,N,2312,4.3,0,21045,31.2,11492,17,1436,2.1,23,0,30274,44.9,693,1,0,0,2467,3.7,58.5,41.5,73.4,63484,59.5,22.9,61021,70745,64157,78810,27042,10.3,2.6,25.3,12.8,15.4,59.4,59.4,56.1,3.3,5.6,0,40.6,5688,2.7,4.6,30.6,30.5,13.1,13,5.4,92.7,42064,27029,34268,42277,71250,50375,0
SAN FRANCISCO,19930119,N,CALIFORNIA PACIFIC MEDICAL CENTER LABORATORY,05D0594734,Y,M2,20190208,94115,41884,-122.431254,37.790998,CALIFORNIA PACIFIC MEDICAL CENTER - PACIFIC CAMPUS,60,0.6,SOUTH SAN FRANCISCO CITY,67378,40.7,20939,75.3,24.7,3.18,3.67,N,N,2312,4.3,0,21045,31.2,11492,17,1436,2.1,23,0,30274,44.9,693,1,0,0,2467,3.7,58.5,41.5,73.4,63484,59.5,22.9,75739,86532,81506,94954,31205,8.8,8.2,10.9,11.5,9.6,56.4,54.7,49,5.7,10.4,1.6,43.6,3532,2.9,7,35.7,29.8,8.8,11.5,4.3,90.1,45435,39226,25750,42289,71951,61964,0
SAN FRANCISCO,19940107,Y,ST MARYS HOSP & MED CTR DEPT OF PATH,05D0594939,N,M2,20191130,94117,41884,-122.4536477,37.7740462,ST. MARY'S MEDICAL CENTER,100,1,SOUTH SAN FRANCISCO CITY,67378,40.7,20939,75.3,24.7,3.18,3.67,N,N,2312,4.3,0,21045,31.2,11492,17,1436,2.1,23,0,30274,44.9,693,1,0,0,2467,3.7,58.5,41.5,73.4,63484,59.5,22.9,49460,65301,49423,64745,19607,16.6,13.4,31.5,18.1,26.4,59.7,59.7,54.5,5.2,8.7,0,40.3,2263,21.8,13,29.4,23.2,6.4,3.8,2.4,65.2,31654,23085,45795,35049,-,-,0
SOUTH SAN FRANCISCO,20030626,Y,KAISER FOUNDATION HOSPITAL-,05D0688613,N,M2,20190227,94080,41884,-122.4393133,37.6591974,KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO,100,1,SOUTH SAN FRANCISCO CITY,67378,40.7,20939,75.3,24.7,3.18,3.67,N,N,2312,4.3,0,21045,31.2,11492,17,1436,2.1,23,0,30274,44.9,693,1,0,0,2467,3.7,58.5,41.5,73.4,63484,59.5,22.9,-,102228,-,102228,36511,20.5,0,75.8,16.7,0,36.9,36.9,36.9,0,0,0,63.1,609,0,0,38.8,24.8,3.6,27.4,5.4,100,41500,-,-,-,-,-,0
SAN FRANCISCO,20040106,Y,ST MARY'S HOSPITAL & MEDICAL CENTER,05D0695520,N,M2,20200119,94117,41884,-122.4536477,37.7740462,ST. MARY'S MEDICAL CENTER,100,1,SOUTH SAN FRANCISCO CITY,67378,40.7,20939,75.3,24.7,3.18,3.67,N,N,2312,4.3,0,21045,31.2,11492,17,1436,2.1,23,0,30274,44.9,693,1,0,0,2467,3.7,58.5,41.5,73.4,63484,59.5,22.9,-,N,-,N,11082,0,-,-,8.1,0,0,0,0,0,-,0,100,96,0,0,0,72.9,27.1,0,0,100,-,-,-,-,-,-,0
SAN FRANCISCO,19940921,N,UNIVERSITY OF CALIFORNIA SAN FRANCISCO,05D0722437,Y,LAB,19960831,94122,41884,-122.4578144,37.7630895,UCSF MEDICAL CENTER  MOFFITT-LONG HOSPITALS,100,1,SOUTH SAN FRANCISCO CITY,67378,40.7,20939,75.3,24.7,3.18,3.67,N,N,2312,4.3,0,21045,31.2,11492,17,1436,2.1,23,0,30274,44.9,693,1,0,0,2467,3.7,58.5,41.5,73.4,63484,59.5,22.9,-,59861,73681,81805,23106,16.1,16.1,-,37.1,56,62.8,62.8,45.6,17.2,27.3,0,37.2,229,0,0,22.3,45,15.3,9.2,8.3,100,-,-,-,25781,-,-,0
SOUTH SAN FRANCISCO,19960828,Y,"PERMANENTE MED GROUP DEPT OF ANEST,THE",05D0726706,N,M2,19980701,94080,41884,-122.4393133,37.6591974,KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO,100,1,SOUTH SAN FRANCISCO CITY,67378,40.7,20939,75.3,24.7,3.18,3.67,N,N,2312,4.3,0,21045,31.2,11492,17,1436,2.1,23,0,30274,44.9,693,1,0,0,2467,3.7,58.5,41.5,73.4,63484,59.5,22.9,61111,71757,90463,96022,37799,0,0,-,10.5,32.5,54.4,54.4,54.4,0,0,0,45.6,1028,2,1.8,34.8,18,14,17.5,11.9,96.2,42147,-,-,32356,68900,58796,0
SOUTH SAN FRANCISCO,19930104,N,"PERMANENTE MEDICAL GROUP,INC SSF,THE",05D0726707,Y,M2,20191220,94080,41884,-122.4393133,37.6591974,KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO,100,1,SOUTH SAN FRANCISCO CITY,67378,40.7,20939,75.3,24.7,3.18,3.67,N,N,2312,4.3,0,21045,31.2,11492,17,1436,2.1,23,0,30274,44.9,693,1,0,0,2467,3.7,58.5,41.5,73.4,63484,59.5,22.9,32996,46952,57569,60536,20764,25,25.4,11.2,27.2,45.3,40.6,40.6,35.3,5.3,13.2,0,59.4,3293,1.4,9.7,44.2,29,7,8,0.6,88.8,27996,7857,28552,37481,-,-,0
SAN FRANCISCO,19930218,N,ST MARY'S MEDICAL CENTER,05D0862149,Y,M2,20051119,94117,41884,-122.4536477,37.7740462,ST. MARY'S MEDICAL CENTER,100,1,SOUTH SAN FRANCISCO CITY,67378,40.7,20939,75.3,24.7,3.18,3.67,N,N,2312,4.3,0,21045,31.2,11492,17,1436,2.1,23,0,30274,44.9,693,1,0,0,2467,3.7,58.5,41.5,73.4,63484,59.5,22.9,47981,48566,48499,48934,19466,0,0,0,7.5,3.7,55.1,55.1,52.4,2.7,4.9,0,44.9,870,5.2,14,6,42.1,3,24.1,5.6,80.8,32629,-,-,33839,16332,-,0
SAN FRANCISCO,19930818,N,HOME HEALTH CARE ST FRANCIS MEMORIAL,05D0875084,Y,LAB,19970817,94109,41884,-122.4166422,37.7896472,SAINT FRANCIS MEMORIAL HOSPITAL,60,0.6,SOUTH SAN FRANCISCO CITY,67378,40.7,20939,75.3,24.7,3.18,3.67,N,N,2312,4.3,0,21045,31.2,11492,17,1436,2.1,23,0,30274,44.9,693,1,0,0,2467,3.7,58.5,41.5,73.4,63484,59.5,22.9,38291,45469,35957,44715,11781,32.3,27.8,44.8,34.8,50.3,64.5,64.5,58.9,5.6,8.6,0,35.5,8290,48.3,16.8,20.7,10.8,1.5,1.7,0.2,34.9,20043,19439,19333,28426,26389,-,0
SAN FRANCISCO,19930930,N,ST MARYS HOME HEALTH,05D0877384,Y,LAB,19960430,94117,41884,-122.4536477,37.7740462,ST. MARY'S MEDICAL CENTER,100,1,SOUTH SAN FRANCISCO CITY,67378,40.7,20939,75.3,24.7,3.18,3.67,N,N,2312,4.3,0,21045,31.2,11492,17,1436,2.1,23,0,30274,44.9,693,1,0,0,2467,3.7,58.5,41.5,73.4,63484,59.5,22.9,38839,47965,58177,54104,18798,12.1,0,25.6,21.6,45.2,70.7,70.7,57.1,13.6,19.2,0,29.3,1022,10,16.3,40,13,5.4,12.8,2.4,73.7,25625,-,30426,30426,35405,-,0
SAN FRANCISCO,19940330,N,UCSF MEDICAL CENTER NON-ANCILLARY,05D0884367,Y,LAB,19980329,94122,41884,-122.4578144,37.7630895,UCSF MEDICAL CENTER  MOFFITT-LONG HOSPITALS,100,1,SOUTH SAN FRANCISCO CITY,67378,40.7,20939,75.3,24.7,3.18,3.67,N,N,2312,4.3,0,21045,31.2,11492,17,1436,2.1,23,0,30274,44.9,693,1,0,0,2467,3.7,58.5,41.5,73.4,63484,59.5,22.9,33973,39358,37026,43421,9792,24.7,22,49,27,34,66.7,66.7,63.2,3.5,5.2,0,33.3,909,48.6,12.1,29.2,7.9,2.2,0,0,39.3,22614,23429,22212,21830,-,-,0
SAN FRANCISCO,19940926,N,SICU & MICU - ST MARY'S HOSPITAL,05D0892220,Y,LAB,20050116,94117,41884,-122.4536477,37.7740462,ST. MARY'S MEDICAL CENTER,100,1,SOUTH SAN FRANCISCO CITY,67378,40.7,20939,75.3,24.7,3.18,3.67,N,N,2312,4.3,0,21045,31.2,11492,17,1436,2.1,23,0,30274,44.9,693,1,0,0,2467,3.7,58.5,41.5,73.4,63484,59.5,22.9,35069,44482,34840,44731,10315,32.8,28.5,52.7,35.9,50,58.1,58.1,49.9,8.3,14.2,0,41.9,7174,37.7,16.2,28.9,11.2,2.6,1.6,1.8,46.1,18344,15785,21228,22288,40347,50938,0
SAN FRANCISCO,19980622,Y,PEDIATRIC BONE MARROW TRANSPLANT LAB,05D0938276,N,M2,19990401,94143,41884,-122.4578144,37.7630895,UCSF MEDICAL CENTER  MOFFITT-LONG HOSPITALS,100,1,SOUTH SAN FRANCISCO CITY,67378,40.7,20939,75.3,24.7,3.18,3.67,N,N,2312,4.3,0,21045,31.2,11492,17,1436,2.1,23,0,30274,44.9,693,1,0,0,2467,3.7,58.5,41.5,73.4,63484,59.5,22.9,42500,53344,44000,56990,19841,12.5,8.3,27.3,11.2,0,40.4,40.4,32.4,8.1,20,0,59.6,119,3.4,21.8,44.5,23.5,4.2,2.5,0,74.8,32250,-,31500,-,-,-,0
SAN FRANCISCO,20031201,Y,UCSF AT PARNASSUS INPATIENT POCT LAB,05D0988642,N,M2,20191209,94143,41884,-122.4578144,37.7630895,UCSF MEDICAL CENTER  MOFFITT-LONG HOSPITALS,100,1,SOUTH SAN FRANCISCO CITY,67378,40.7,20939,75.3,24.7,3.18,3.67,N,N,2312,4.3,0,21045,31.2,11492,17,1436,2.1,23,0,30274,44.9,693,1,0,0,2467,3.7,58.5,41.5,73.4,63484,59.5,22.9,29773,42521,31042,44665,15071,23.1,19.4,33.9,36.6,50.1,41.8,41.8,35,6.8,16.2,0,58.2,646,11.8,20.7,43.8,16.1,4.5,2.6,0.5,67.5,35982,42396,32250,27143,-,-,0
SOUTH SAN FRANCISCO,20060725,N,TPMG SSF EMPLOYEE WELLNESS LAB,05D1056807,Y,M2,20200724,94080,41884,-122.4393133,37.6591974,KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO,100,1,SOUTH SAN FRANCISCO CITY,67378,40.7,20939,75.3,24.7,3.18,3.67,N,N,2312,4.3,0,21045,31.2,11492,17,1436,2.1,23,0,30274,44.9,693,1,0,0,2467,3.7,58.5,41.5,73.4,63484,59.5,22.9,36500,50728,-,62269,16237,11.5,0,0,22.8,0,68.5,68.5,57.6,10.9,15.9,0,31.5,66,30.3,22.7,9.1,33.3,0,0,4.5,47,31397,32500,-,-,-,-,0
SAN FRANCISCO,20141105,N,UCSF AT MISSION BAY POCT LAB,05D2086532,Y,M2,20190913,94158,41884,-122.3902697,37.7648549,UCSF HEALTH - MISSION BAY,100,1,SOUTH SAN FRANCISCO CITY,67378,40.7,20939,75.3,24.7,3.18,3.67,N,N,2312,4.3,0,21045,31.2,11492,17,1436,2.1,23,0,30274,44.9,693,1,0,0,2467,3.7,58.5,41.5,73.4,63484,59.5,22.9,27619,36623,28036,37934,9372,68.5,38.5,89.2,72.6,77.9,74.9,74.9,62.6,12.3,16.5,0,25.1,181,23.2,21,41.4,12.2,0,2.2,0,55.8,11713,11250,-,-,-,-,0
SANTA CLARA,19930112,N,KAISER FOUNDATION HOSPITAL SANTA CLARA LABORATORY,05D0606477,Y,M2,20190227,95051,41940,-121.99833,37.3358952,KAISER FOUNDATION HOSPITAL - SANTA CLARA,100,1,SANTA CLARA COUNTY,1928741,37.1,633811,71.8,28.2,3,3.47,54642,12.6,50651,3.4,5,496020,25.6,607855,31.4,47234,2.4,3797,0.2,702503,36.2,5388,0.3,5727,0.3,69629,3.6,60.5,39.5,53.5,1820441,53.5,20.3,31111,44184,37667,46947,17294,25.9,9.2,67.9,34.7,40.6,56.6,56.6,45.2,11.4,20.1,0,43.4,2609,8.5,18.6,32.8,26.9,4.1,7.1,2.1,73,27895,25833,23050,28651,71250,-,0
SANTA CLARA,20030710,N,KAISER FOUNDATION HOSPITAL,05D1014584,Y,M2,20190426,95051,41940,-121.99833,37.3358952,KAISER FOUNDATION HOSPITAL - SANTA CLARA,100,1,SANTA CLARA COUNTY,1928741,37.1,633811,71.8,28.2,3,3.47,54642,12.6,50651,3.4,5,496020,25.6,607855,31.4,47234,2.4,3797,0.2,702503,36.2,5388,0.3,5727,0.3,69629,3.6,60.5,39.5,53.5,1820441,53.5,20.3,28158,44253,-,56126,18320,26.6,0,29.7,47.3,70.5,18.6,18.6,15.8,2.9,15.5,0,81.4,594,3.4,12.5,18.5,37.2,4.9,22.6,1,84.2,36250,-,-,-,-,-,0
SANTA CLARA,20060316,N,KAISER FOUNDATION HOSP SANTA CLARA LABORATORY,05D1052034,Y,LAB,20070821,95051,41940,-121.99833,37.3358952,KAISER FOUNDATION HOSPITAL - SANTA CLARA,100,1,SANTA CLARA COUNTY,1928741,37.1,633811,71.8,28.2,3,3.47,54642,12.6,50651,3.4,5,496020,25.6,607855,31.4,47234,2.4,3797,0.2,702503,36.2,5388,0.3,5727,0.3,69629,3.6,60.5,39.5,53.5,1820441,53.5,20.3,59511,65769,59464,63260,28112,18.8,20.9,12.3,23.6,42,58.1,58.1,50,8.1,14,0,41.9,652,6.4,7.1,40.6,27.8,5.7,8.3,4.1,86.5,32292,3750,10089,55227,-,-,0
MOUNTAIN VIEW,19930106,N,EL CAMINO HOSPITAL CLINICAL LABORATORY,05D0643619,Y,M2,20190427,94040,41940,-122.080472,37.3693389,EL CAMINO HOSPITAL,80,0.8,MOUNTAIN VIEW CITY,81307,34.5,33177,53.6,46.4,2.45,3.19,N,N,1745,2.6,0,15096,18.5,32445,39.8,678,0.8,0,0,30209,37.1,0,0,237,0.3,2778,3.4,52,48,34.9,76395,53,16.7,38574,50000,43856,56209,18882,24.3,7.2,48.3,27.5,33.7,57.9,57.9,48.8,9.1,15.7,0,42.1,21424,4.6,14.2,34.6,29,8.2,6.9,2.5,81.2,31153,29219,29958,30076,40328,61276,0
MOUNTAIN VIEW,19940308,N,EL CAMINO HEALTHCARE RADIOLOGY SERVICE,05D0675747,Y,LAB,19950109,94040,41940,-122.080472,37.3693389,EL CAMINO HOSPITAL,80,0.8,MOUNTAIN VIEW CITY,81307,34.5,33177,53.6,46.4,2.45,3.19,N,N,1745,2.6,0,15096,18.5,32445,39.8,678,0.8,0,0,30209,37.1,0,0,237,0.3,2778,3.4,52,48,34.9,76395,53,16.7,31250,53212,-,19925,22527,68.6,42.1,100,48,19.8,26.7,26.7,26.7,0,0,0,73.3,540,8.5,0,32.6,40,0,9.4,9.4,91.5,71406,-,-,-,-,-,0
